방송일시,노출(분),상품명,상품군,판매단가,취급액,요일,휴일,공휴일,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
2019-05-01 19:40,20,헤드 언더셔츠 6종패키지,5,0,45450000,Wednesday,No,No,2,2,10.1,22.1,15.4,0,48,105.05,19:40:00,118,54,0,0,2
2019-02-28 17:20,20,바다먹자 국내산 손질꽃게 7팩,3,0,27208000,Thursday,No,No,2,2,1.4,13.4,6.8,0.1,75,104.69,17:20:00,104,104,0,0,3
2019-02-04 22:40,20,무이자 LG 통돌이 세탁기,1,2,33537000,Monday,No,Yes,2,0,-1.5,6.8,2.5,0,68,104.69,22:40:00,136,10,1,0,0
2019-12-19 19:40,20,일시불 종근당건강 락토핏 생유산균골드 단하루,2,0,64980000,Thursday,No,No,2,1,-1.3,6.8,2.2,0,22,105.12,19:40:00,118,32,0,0,3
2019-04-09 19:40,20,일시불 쿠첸 압력밥솥 6인용 (A1),9,1,20199000,Tuesday,No,No,2,1,4.8,15.4,9.3,23.2,24,104.87,19:40:00,118,4,0,0,1
2019-11-16 11:40,20,무이자 쿠쿠전기밥솥 10인용(CRP-QS107FG/FS),9,1,23946000,Saturday,Yes,No,2,0,5.1,17.1,10.3,0.2,32,104.87,11:40:00,70,59,0,1,5
2019-08-12 8:00,20,LG생활건강 테크 한장빨래 화이트업(30매X9박스),4,0,11157000,Monday,No,No,2,2,25.3,31,27.7,15.5,21,104.81,8:00:00,48,0,0,0,0
2019-03-06 11:40,20,무이자 쿠쿠전기밥솥 6인용,9,1,8478000,Wednesday,No,No,2,0,4.7,14.3,8.8,1,95,104.49,11:40:00,70,59,0,0,2
2019-05-29 14:30,30,효재 자수 광목 워싱 침구세트 퀸,10,1,14001000,Wednesday,No,No,2,2,11.1,27.4,19.7,0,33,105.05,14:30:00,87,11,0,0,2
2019-04-12 20:20,20,(일) 삼익가구 LED 제니비 서랍형 침대 K,0,2,1524000,Friday,No,No,2,2,4.1,17.7,10.7,0.1,31,104.87,20:20:00,122,3,0,0,4
2019-04-21 6:40,20,(무)장수흙침대 S,0,4,2734000,Sunday,Yes,No,2,2,12,22.1,16.5,0.1,30,104.87,6:40:00,40,3,0,1,6
2019-12-01 16:40,20,피시원 국내산 햇 손질문어 7팩,3,0,61142000,Sunday,Yes,No,2,2,4.7,8.1,6.3,12.5,25,105.12,16:40:00,100,48,0,1,6
2019-07-10 12:40,20,보몽드 샐비어 시어서커 리플 침구세트 K,10,0,21400000,Wednesday,No,No,2,2,19.2,23.3,20.9,20.7,12,104.56,12:40:00,76,11,0,0,2
2019-09-19 22:20,20,일시불 쿠쿠전기밥솥 10인용 (QS),9,1,19157000,Thursday,No,No,2,1,13.5,25.6,19.2,0,24,105.2,22:20:00,134,59,0,0,3
2019-10-17 6:40,20,오모떼 모달 웜 이너웨어 6종세트,5,0,22840000,Thursday,No,No,2,2,9.5,19.9,14,0,26,105.46,6:40:00,40,0,0,0,3
2019-04-27 6:40,20,뷰티플렉스 풍기인견 란쥬패키지,5,0,28303000,Saturday,Yes,No,2,2,4.9,17.8,11.4,0.1,15,104.87,6:40:00,40,0,0,1,5
2019-11-06 14:00,20,푸마 드라이셀 치마레깅스 3종,5,0,26150000,Wednesday,No,No,2,2,5.5,18.6,11.3,0,34,104.87,14:00:00,84,70,0,0,2
2019-12-21 11:40,20,임성근의 녹용도가니탕 풀세트,3,0,51399000,Saturday,Yes,No,2,2,-4.1,4.7,0.2,0.1,32,105.12,11:40:00,70,47,0,1,5
2019-04-29 16:40,20,안동간고등어 20팩,3,0,56052000,Monday,No,No,2,2,8,14.3,11.3,19.1,21,104.87,16:40:00,100,17,0,0,0
2019-12-19 0:00,20,(일)장수 클래식 흙카우치,0,4,3280000,Thursday,No,No,2,2,-1.3,6.8,2.2,0,22,105.12,0:00:00,0,0,0,0,3
2019-10-06 11:00,20,칼리베이직 2019 패브릭 백 4종 (시즌 3),8,0,28473000,Sunday,Yes,No,2,2,13.4,21.8,17.3,0,16,105.46,11:00:00,66,0,0,1,6
2019-09-05 22:20,20,안동간고등어 20팩,3,0,55833000,Thursday,No,No,2,2,21.8,29,24.2,22,17,105.2,22:20:00,134,17,0,0,3
2019-06-03 17:00,20,사용불가미리구운 자연산 바다장어 9팩,3,0,25842000,Monday,No,No,2,2,14,29.7,22,0,35,104.88,17:00:00,102,118,0,0,0
2019-07-15 8:30,30,프라다 자카드 토트 숄더백,8,4,8121000,Monday,No,No,2,2,20.6,27.1,23.2,8.8,27,104.56,8:30:00,51,29,0,0,0
2019-03-17 8:40,20,삭루츠 투 웨이 백팩(TQ55),8,0,42004000,Sunday,Yes,No,2,2,1.1,13.1,6.6,0,30,104.49,8:40:00,52,81,0,1,6
2019-01-25 6:00,20,무이자 쿠첸 스마트 투인원 티메이커,9,0,917000,Friday,No,No,2,0,-5.1,5.5,-0.4,0,33,104.24,6:00:00,36,0,0,0,4
2019-09-28 7:20,20,노와 멀티 만능 다지기,9,0,9065000,Saturday,Yes,No,2,2,19.3,27.4,22.5,1.8,25,105.2,7:20:00,44,0,0,1,5
2019-01-11 0:20,20,레이프릴 무빙 맥시풀커버 브라팬티,5,0,28608000,Friday,No,No,2,2,-3.4,8.1,2.1,0,54,104.24,0:20:00,2,65,0,0,4
2019-12-05 17:20,20,AAC 한우소머리 곰탕,3,0,8420000,Thursday,No,No,2,2,-4.4,4.8,0.2,0,23,105.12,17:20:00,104,0,0,0,3
2019-11-28 17:40,20,강원도양구 간편시래기15팩,3,0,40127000,Thursday,No,No,2,2,0.3,10.4,4.7,3.1,25,104.87,17:40:00,106,0,0,0,3
2019-04-02 23:40,20,무이자 LG 울트라HD TV 65UK6800HNC,1,5,14355000,Tuesday,No,No,2,0,-0.4,13.4,6.7,0,25,104.87,23:40:00,142,1,0,0,1
2019-07-14 9:20,20,코치 엠마 사첼백,8,1,12128000,Sunday,Yes,No,2,2,20.2,29.1,23.9,2.1,27,104.56,9:20:00,56,56,0,1,6
2019-08-11 10:40,20,몬테밀라노 크루즈 이지웨어 패키지,5,0,65324000,Sunday,Yes,No,2,2,24.8,32.3,28.3,8,20,104.81,10:40:00,64,0,0,1,6
2019-10-03 0:40,20,보루네오 심플 광폭 서랍장 1000 5단,0,1,30828000,Thursday,No,Yes,2,2,18.7,26.3,22,28.9,20,105.46,0:40:00,4,103,1,0,3
2019-03-30 11:00,20,아키 풀커버 라이크라 레이스 패키지(106차),5,0,27405000,Saturday,Yes,No,2,2,3.7,12.2,7.2,3,27,104.49,11:00:00,66,0,0,1,5
2019-05-09 12:40,20,에코라믹 통주물 스톤 냄비세트,9,0,38706000,Thursday,No,No,2,2,11.1,24.1,17.1,0,37,105.05,12:40:00,76,24,0,0,3
2019-03-06 10:00,20,NNF 소프트 베스트 앙상블,6,0,26610000,Wednesday,No,No,2,2,4.7,14.3,8.8,1,95,104.49,10:00:00,60,84,0,0,2
2019-11-20 14:20,20,무이자 파뷔에 항균 뱀부 식기건조대,9,0,6767000,Wednesday,No,No,2,0,-2.1,8.9,2.6,0,22,104.87,14:20:00,86,0,0,0,2
2019-07-14 12:00,20,보몽드 엘사 자수 쿨 시어서커 침구세트 SS,10,0,2917000,Sunday,Yes,No,2,2,20.2,29.1,23.9,2.1,27,104.56,12:00:00,72,11,0,1,6
2019-05-01 18:40,20,파뷔에 항균도마 1+1세트,9,0,41216000,Wednesday,No,No,2,2,10.1,22.1,15.4,0,48,105.05,18:40:00,112,72,0,0,2
2019-10-12 15:40,20,영광 生 모시떡 90개+찰보리식혜(동부기피70개+검정깨20개),3,0,5363000,Saturday,Yes,No,2,2,13.5,23.4,18,0,25,105.46,15:40:00,94,38,0,1,5
2019-05-16 16:00,30,무이자 매직쉐프 10리터 듀얼쿡 에어프라이어,9,1,14496000,Thursday,No,No,2,0,14.6,28.9,21.4,0,43,105.05,16:00:00,96,21,0,0,3
2019-04-15 18:40,20,무이자 린나이 자동불꽃조절 가스레인지 3구,9,2,12692000,Monday,No,No,2,0,2.3,19.6,11.1,0,46,104.87,18:40:00,112,12,0,0,0
2019-01-02 22:40,20,무이자 LG 울트라HD TV 70UK7400KNA,1,6,14523000,Wednesday,No,No,2,0,-7,3.2,-2.5,0,24,104.24,22:40:00,136,1,0,0,2
2019-07-20 12:00,20,EXR 여성 워터 액티비티 5종,6,0,11177000,Saturday,Yes,No,1,2,23.2,27.1,24.8,56.5,14,104.56,12:00:00,72,0,0,1,5
2019-06-15 12:00,20,뱅뱅 남성 썸머 데님팬츠 3종(2019 S/S),6,0,11084000,Saturday,Yes,No,0,2,16.1,26.4,20.4,3.8,25,104.88,12:00:00,72,42,0,1,5
2019-02-14 15:00,20,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),9,1,2695000,Thursday,No,No,2,1,-3.7,6.5,0.6,0.1,33,104.69,15:00:00,90,4,0,0,3
2019-10-09 23:40,20,(무)[보루네오] 피올레 천연소가죽 소파 6인용,0,4,13329000,Wednesday,No,Yes,2,2,6.8,21.2,13.3,0,24,105.46,23:40:00,142,8,1,0,2
2019-07-29 10:40,20,마르엘라로사티 휘메일 풀스킨 밍크 후드코트,6,4,49022000,Monday,No,No,2,2,24.3,32.1,27.8,0.1,15,104.56,10:40:00,64,99,0,0,0
2019-11-04 21:00,20,비버리힐스폴로클럽 남성기초세트(골드+콜라겐),7,0,94934000,Monday,No,No,2,2,7.6,18.9,12.5,0.2,22,104.87,21:00:00,126,87,0,0,0
2019-10-21 6:20,20,푸마 드라이셀 쉐이핑 레깅스 3종,5,0,7724000,Monday,No,No,2,2,9.5,23,15.3,0,28,105.46,6:20:00,38,62,0,0,0
2019-03-20 16:20,20,무이자 LG 휘센 에어컨 위너 FQ17V8WWJ2(2in1),1,5,26693000,Wednesday,No,No,2,0,5.3,17.2,11.4,16.1,53,104.49,16:20:00,98,7,0,0,2
2019-11-24 13:00,20,보몽드 카밀라 더블착번극세사 토퍼침구세트 Q(퀸),10,0,15631000,Sunday,Yes,No,2,2,7.4,19.6,12.8,1.2,25,104.87,13:00:00,78,11,0,1,6
2019-09-28 11:00,30,프라다 사피아노 스퀘어백,8,4,4096000,Saturday,Yes,No,2,2,19.3,27.4,22.5,1.8,25,105.2,11:00:00,66,0,0,1,5
2019-09-02 22:40,20,(무)삼익가구 어블러 LED 멀티 수납형 침대 퀸,0,2,10241000,Monday,No,No,2,2,19.1,25.1,21.6,11.4,20,105.2,22:40:00,136,3,0,0,0
2019-04-19 1:00,30,오모떼 리얼스킨 쉐이핑 브라팬티,5,0,13058000,Friday,No,No,2,2,9.5,17.6,12.8,0,33,104.87,1:00:00,6,65,0,0,4
2019-08-02 20:00,20,무이자 올리고 가스와이드그릴레인지 프리미엄형,9,1,2825000,Friday,No,No,2,0,24.3,34.2,28.8,0.1,17,104.81,20:00:00,120,40,0,0,4
2019-06-27 12:20,20,보몽드 엘사 자수 쿨 시어서커 침구세트 Q,10,0,11399000,Thursday,No,No,2,2,20.6,28.8,23.8,12,20,104.88,12:20:00,74,11,0,0,3
2019-01-29 23:40,20,카파 런닝 패키지 9종,5,0,524000,Tuesday,No,No,2,2,-6.5,8.1,0,0,57,104.24,23:40:00,142,53,0,0,1
2019-03-22 22:20,20,푸마 드라이셀 브라탑 4종세트(끈형),5,0,2367000,Friday,No,No,2,2,1.6,10.5,5.2,0,35,104.49,22:20:00,134,66,0,0,4
2019-03-20 19:40,20,에코라믹 통주물 스톤 냄비세트,9,0,61582000,Wednesday,No,No,2,2,5.3,17.2,11.4,16.1,53,104.49,19:40:00,118,24,0,0,2
2019-04-09 12:20,20,바로바로 무선청소기,4,0,19859000,Tuesday,No,No,2,2,4.8,15.4,9.3,23.2,24,104.87,12:20:00,74,96,0,0,1
2019-08-08 9:00,20, 국내제조 오슬로 IH 프라이팬 세트,9,0,12000000,Thursday,No,No,2,2,24.2,33.2,27.6,5.7,28,104.81,9:00:00,54,41,0,0,3
2019-09-24 1:20,20,프리바이오틱스 3300 12박스(12개월분),2,0,12555000,Tuesday,No,No,2,2,12.6,25,17.8,0,22,105.2,1:20:00,8,0,0,0,1
2019-12-14 13:50,10,고칼슘검은콩두유48팩+호두아몬드 두유48팩,3,0,28561000,Saturday,Yes,No,2,2,-0.1,9,4,0.4,29,105.12,13:50:00,83,57,0,1,5
2019-07-22 13:00,30,루이띠에 순금 샤이닝 러브 팔찌 35g+골드바 1g,8,6,11571000,Monday,No,No,2,2,23.2,31.6,27,0.3,27,104.56,13:00:00,78,49,0,0,0
2019-10-03 12:40,20,일시불 국내제조 삼성 4도어 푸드쇼케이스 냉장고 RH81R8011G2 (+청소기),1,4,48950000,Thursday,No,Yes,2,1,18.7,26.3,22,28.9,20,105.46,12:40:00,76,96,1,0,3
2019-08-27 14:40,20,비버리힐스폴로클럽 남성기초세트(플라센타아이크림+선크림),7,0,39255000,Tuesday,No,No,2,2,20.5,25.4,22.7,16.7,20,104.81,14:40:00,88,87,0,0,1
2019-06-16 17:20,20,(쿠)일시불 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),9,1,26170000,Sunday,Yes,No,2,1,15.2,26.1,20.2,0.1,21,104.88,17:20:00,104,4,0,1,6
2019-10-28 21:20,20,(쿠)일시불 쿠첸 압력밥솥 6인용 (A1),9,1,16532000,Monday,No,No,2,1,4.5,18.5,11.5,0.3,33,105.46,21:20:00,128,4,0,0,0
2019-09-14 21:40,20,무이자 LG 울트라HD TV 75UK7400KNA,1,6,7450000,Saturday,Yes,Yes,2,0,17.4,27.5,22.3,0.1,15,105.2,21:40:00,130,1,1,1,5
2019-02-13 0:20,20,크로커다일 풀커버 레이스 브라팬티 4세트,5,0,22187000,Wednesday,No,No,2,2,-4.1,5.3,0.3,0,43,104.69,0:20:00,2,65,0,0,2
2019-10-29 8:00,20,푸마 드라이셀 쉐이핑 레깅스 3종,5,0,5864000,Tuesday,No,No,2,2,8,18.8,13.2,0.7,65,105.46,8:00:00,48,62,0,0,1
2019-12-14 10:20,30,구찌 마이크로 씨마 GG플랩 2단 장지갑,8,3,3998000,Saturday,Yes,No,2,2,-0.1,9,4,0.4,29,105.12,10:20:00,62,0,0,1,5
2019-11-30 11:40,20,일시불 클란츠 멀티쿡,9,0,41297000,Saturday,Yes,No,2,1,-1.5,12.7,5.4,0.1,27,104.87,11:40:00,70,0,0,1,5
2019-05-09 0:20,20,2019 S/S 엘리자베스아덴 선글라스 2종,8,0,30367000,Thursday,No,No,2,2,11.1,24.1,17.1,0,37,105.05,0:20:00,2,27,0,0,3
2019-05-07 23:20,20,일시불 대우전자 벽걸이 에어컨 DOZ-S06JK,1,2,19678000,Tuesday,No,No,2,1,5.2,21.8,13.9,0,37,105.05,23:20:00,140,7,0,0,1
2019-05-16 23:20,20,무이자 LG 통돌이 세탁기,1,2,20022000,Thursday,No,No,2,0,14.6,28.9,21.4,0,43,105.05,23:20:00,140,10,0,0,3
2019-12-27 1:20,20,블랙모어스 알티지 오메가3 3병 (53주분),2,0,6385000,Friday,No,No,2,2,-3.2,5.1,0.6,0,24,105.12,1:20:00,8,0,0,0,4
2019-05-10 20:20,20,보루네오 루나 유로탑 멀티수납형 LED 침대 SS 슈퍼싱글,0,2,25276000,Friday,No,No,2,2,8.7,26.7,17.6,0,38,105.05,20:20:00,122,5,0,0,4
2019-01-03 9:20,20,로베르타 디 까메리노 노벨라백 2종,8,0,19488000,Thursday,No,No,2,2,-7.7,5,-2.1,0,25,104.24,9:20:00,56,0,0,0,3
2019-02-23 22:20,20,무이자 LG 울트라HD TV 55UK6800HNC,1,4,3726000,Saturday,Yes,No,2,0,-1.3,13.2,5,0,48,104.69,22:20:00,134,1,0,1,5
2019-12-16 13:00,20,무이자 쿠쿠전기밥솥 10인용(CRP-QS107FG/FS),9,1,30361000,Monday,No,No,2,0,1,14.1,7.1,0,28,105.12,13:00:00,78,59,0,0,0
2019-03-27 11:40,20,스피드랙 베이직 4단,4,0,3441000,Wednesday,No,No,2,2,4.8,19.9,12.8,0.1,52,104.49,11:40:00,70,0,0,0,2
2019-07-30 14:40,20,월드컵 남성 에어러닝화+아쿠아트레킹화,8,0,28321000,Tuesday,No,No,2,2,24.7,32.5,28.4,0.7,17,104.56,14:40:00,88,95,0,0,1
2019-03-14 13:20,20,뱅뱅 남성 봄 데님팬츠 3종,6,0,11287000,Thursday,No,No,0,2,-2.4,11.8,5.2,0,32,104.49,13:20:00,80,42,0,0,3
2019-07-30 15:00,20,일시불  쿠쿠전기밥솥 6인용(QS),9,1,3835000,Tuesday,No,No,2,1,24.7,32.5,28.4,0.7,17,104.56,15:00:00,90,59,0,0,1
2019-02-22 17:20,20,캘리포니아 카라카라 오렌지 8kg,3,0,36822000,Friday,No,No,2,2,-1.5,11.1,3.9,0,52,104.69,17:20:00,104,0,0,0,4
2019-02-02 23:00,20,카파 런닝 패키지 9종,5,0,11437000,Saturday,Yes,No,2,2,-4.8,8.5,2.1,0,46,104.69,23:00:00,138,53,0,1,5
2019-10-07 13:20,20,보몽드 엘리 소프트플란넬 침구세트 SS(슈퍼싱글),10,0,9740000,Monday,No,No,2,2,13.8,17.7,15.5,8.6,15,105.46,13:20:00,80,11,0,0,0
2019-02-24 0:40,20,쿠미투니카 퍼펙트클린 레이스 브라팬티,5,0,40337000,Sunday,Yes,No,2,2,-1.5,14.3,6.1,0,44,104.69,0:40:00,4,65,0,1,6
2019-08-03 17:40,20,안동간고등어 20팩,3,0,38945000,Saturday,Yes,No,2,2,24.2,34.1,28.3,0.5,23,104.81,17:40:00,106,17,0,1,5
2019-08-06 16:40,20,깐깐송도순 포기김치 10kg,3,0,44415000,Tuesday,No,No,2,2,23.8,32.1,27.6,10.9,28,104.81,16:40:00,100,50,0,0,1
2019-11-11 6:50,30,프라다 비텔로 피닉스 보스턴,8,4,6955000,Monday,No,No,2,2,7.8,16.9,12.1,1.1,25,104.87,6:50:00,41,0,0,0,0
2019-12-07 10:00,20,CERINI by PAT 남성 기모 릴렉스팬츠,6,0,73168000,Saturday,Yes,No,0,2,-6.5,6.1,0.1,0,31,105.12,10:00:00,60,110,0,1,5
2019-03-28 21:00,20,보루네오 루나 유로탑 멀티수납형 LED 침대 K 킹,0,2,12366000,Thursday,No,No,2,2,6.6,16.1,10.6,0.6,44,104.49,21:00:00,126,5,0,0,3
2019-06-13 7:20,20,일시불 메디컬드림 롤링마사지기 (KMD-970),4,0,14168000,Thursday,No,No,2,1,14.7,28,21.2,0,23,104.88,7:20:00,44,0,0,0,3
2019-02-01 22:20,20,보루네오 루나 유로탑 멀티수납형 LED 침대 SS 슈퍼싱글,0,2,20638000,Friday,No,No,2,2,-6.7,4.1,-1.3,0,32,104.69,22:20:00,134,5,0,0,4
2019-12-29 20:40,20,푸마 코튼 언더탑 9종,5,0,4376000,Sunday,Yes,No,2,2,-2.4,6.6,2.6,6.2,32,105.12,20:40:00,124,0,0,1,6
2019-10-24 19:40,20,(쿠)무이자 쿠첸 압력밥솥 6인용 (A1),9,1,6527000,Thursday,No,No,2,0,13.6,22.1,17.4,2.3,26,105.46,19:40:00,118,4,0,0,3
2019-04-30 6:00,20,경남제약 레모나 S산 350포,2,0,12180000,Tuesday,No,No,2,2,9.8,20.5,14.6,0.1,24,104.87,6:00:00,36,0,0,0,1
2019-05-09 12:00,20,에코라믹 통주물 스톤 냄비세트,9,0,18028000,Thursday,No,No,2,2,11.1,24.1,17.1,0,37,105.05,12:00:00,72,24,0,0,3
2019-07-16 23:00,20,일시불 삼성 무풍클래식 홈멀티에어컨 AF19R7573WZR,1,5,5487000,Tuesday,No,No,2,1,20.3,28.7,23.8,4.5,23,104.56,23:00:00,138,7,0,0,1
2019-09-12 16:00,20,(무)100%리얼착즙석류 4박스,2,0,1629000,Thursday,No,Yes,2,2,18.6,23.5,20.8,5.6,12,105.2,16:00:00,96,63,1,0,3
2019-04-23 7:00,20,닥터 슈퍼 루테인,2,0,12383000,Tuesday,No,No,2,2,12.1,21.8,16.8,5.6,40,104.87,7:00:00,42,77,0,0,1
2019-12-25 12:00,20,AAB의 소곱창전골 800g x 8팩,3,0,82336000,Wednesday,No,Yes,2,2,-3.2,10.9,3.5,0,33,105.12,12:00:00,72,26,1,0,2
2019-05-11 16:40,20,무이자 종근당건강 락토핏 생유산균골드,2,0,11392000,Saturday,Yes,No,2,0,10.2,27.3,18.5,0,40,105.05,16:40:00,100,32,0,1,5
2019-05-05 12:40,20,K-SWISS 여성PK티셔츠4종,6,0,16264000,Sunday,Yes,No,1,2,10.9,27.3,18.9,0,49,105.05,12:40:00,76,46,0,1,6
2019-03-11 21:00,20,일시불 LG 통돌이 세탁기,1,2,12808000,Monday,No,No,2,1,0.7,11.9,6.4,1.1,37,104.49,21:00:00,126,10,0,0,0
2019-11-22 9:40,20,IH 옛 가마솥 세트,9,0,56109000,Friday,No,No,2,2,2.8,17.3,9.3,0,31,104.87,9:40:00,58,0,0,0,4
2019-12-19 7:40,20,일시불 종근당건강 락토핏 생유산균골드 단하루,2,0,38906000,Thursday,No,No,2,1,-1.3,6.8,2.2,0,22,105.12,7:40:00,46,32,0,0,3
2019-04-15 20:20,20,일시불 LG 통돌이 세탁기,1,2,27806000,Monday,No,No,2,1,2.3,19.6,11.1,0,46,104.87,20:20:00,122,10,0,0,0
2019-03-07 18:40,20,아가타 여성 주얼 슬립온+스트랩슬립온,8,0,42280000,Thursday,No,No,2,2,2.1,12.1,6.5,0.5,52,104.49,18:40:00,112,0,0,0,3
2019-02-02 0:00,20,임페리얼 여성 울 블렌딩 니트 3종,6,0,3251000,Saturday,Yes,No,1,2,-4.8,8.5,2.1,0,46,104.69,0:00:00,0,36,0,1,5
2019-09-23 14:30,30,알비에로 마르티니 1A클라쎄 지오맵 라이트 백팩,8,1,6950000,Monday,No,No,2,2,14.4,22.5,18.1,0.4,15,105.2,14:30:00,87,81,0,0,0
2019-05-16 13:20,20,(쿠)일시불 쿠첸 압력밥솥 6인용 (A1),9,1,7571000,Thursday,No,No,2,1,14.6,28.9,21.4,0,43,105.05,13:20:00,80,4,0,0,3
2019-10-10 17:00,20,유귀열의 The귀한 소한마리찜 7팩+무료체험1팩,3,0,21354000,Thursday,No,No,2,2,8.6,21.6,14.9,0,21,105.46,17:00:00,102,0,0,0,3
2019-06-07 10:00,20,코치 시그니처 켈시 사첼,8,1,6288000,Friday,No,No,2,2,16.6,21.2,18.6,24.2,16,104.88,10:00:00,60,0,0,0,4
2019-05-11 20:40,20,(무) 삼익가구 LED 제니비 서랍형 침대 K,0,2,1694000,Saturday,Yes,No,2,2,10.2,27.3,18.5,0,40,105.05,20:40:00,124,3,0,1,5
2019-08-28 18:00,20,피시원 국내산 햇 손질문어 8팩,3,0,47724000,Wednesday,No,No,2,2,21,27.7,23.8,0.9,19,104.81,18:00:00,108,48,0,0,2
2019-02-20 6:40,20,크린조이 황사 방역마스크 소형 105매,4,0,1529000,Wednesday,No,No,2,2,-0.5,7,2.8,0,42,104.69,6:40:00,40,0,0,0,2
2019-05-21 21:40,20,일시불 LG 휘센 씽큐 에어컨 스탠드형FQ17V9KWA1,1,4,3490000,Tuesday,No,No,2,1,9,24.2,17,0,38,105.05,21:40:00,130,7,0,0,1
2019-05-23 15:20,20,실크트리 풍기인견 데일리 쿨 이지탑 패키지,5,0,30333000,Thursday,No,No,2,2,12.8,29,20.9,0,50,105.05,15:20:00,92,0,0,0,3
2019-06-01 9:30,30,일시불 매직쉐프 10리터 듀얼쿡 에어프라이어,9,1,71581000,Saturday,Yes,No,2,1,12.4,25.3,18.9,0,26,104.88,9:30:00,57,21,0,1,5
2019-10-17 14:40,20,무이자 스마트코너 초고속블렌더 비앙코 볼토,9,2,11258000,Thursday,No,No,2,0,9.5,19.9,14,0,26,105.46,14:40:00,88,0,0,0,3
2019-05-09 10:20,20,무이자 LG 휘센 씽큐 에어컨 스탠드형FQ17V9KWA1,1,5,3635000,Thursday,No,No,2,0,11.1,24.1,17.1,0,37,105.05,10:20:00,62,7,0,0,3
2019-03-30 16:40,20,(쿠)일시불 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),9,1,34478000,Saturday,Yes,No,2,1,3.7,12.2,7.2,3,27,104.49,16:40:00,100,4,0,1,5
2019-11-11 12:00,20,안동간고등어 20팩,3,0,52839000,Monday,No,No,2,2,7.8,16.9,12.1,1.1,25,104.87,12:00:00,72,17,0,0,0
2019-06-29 0:00,20,뱅뱅 여성 썸머 데님팬츠 3종(2019 S/S),6,0,8051000,Saturday,Yes,No,1,2,19.9,24.1,21.6,31.7,20,104.88,0:00:00,0,42,0,1,5
2019-03-23 21:20,20,아키 풀커버 라이크라 레이스 패키지(106차),5,0,24835000,Saturday,Yes,No,2,2,-0.3,10.3,4.2,1.4,24,104.49,21:20:00,128,0,0,1,5
2019-09-15 17:00,20,피시원 국내산 햇 손질문어 8팩,3,0,53589000,Sunday,Yes,No,2,2,19.7,28.8,23.4,0.4,16,105.2,17:00:00,102,48,0,1,6
2019-02-19 18:20,20,무이자  린나이 자동불꽃조절 가스레인지 2구,9,1,6413000,Tuesday,No,No,2,0,0.6,5.7,2.9,16.3,24,104.69,18:20:00,110,12,0,0,1
2019-11-07 0:40,20,초특가 일시불 삼성 UHD TV UN65RU7150FXKR,1,4,8302000,Thursday,No,No,2,1,5.7,16.9,10.8,0,34,104.87,0:40:00,4,1,0,0,3
2019-04-01 1:00,20,뱅뱅 여성 봄 데님팬츠 3종,6,0,15121000,Monday,No,No,1,2,-0.1,11.4,5.7,0,23,104.87,1:00:00,6,42,0,0,0
