num,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가, 취급액 ,요일,휴일,공휴일
33,2019-01-01 16:00,20,100322,201479,국내산 손질갑오징어 8팩,농수축,"49,900","60,787,000",Tuesday,No,Yes
34,2019-01-01 16:20,20,100322,201479,국내산 손질갑오징어 8팩,농수축,"49,900","115,457,000",Tuesday,No,Yes
35,2019-01-01 16:40,20,100849,202512,멋진밥상 흥양농협 햅쌀 20kg,농수축,"61,000","83,893,000",Tuesday,No,Yes
36,2019-01-01 17:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","42,239,000",Tuesday,No,Yes
37,2019-01-01 17:20,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","73,494,000",Tuesday,No,Yes
38,2019-01-01 17:40,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","107,103,000",Tuesday,No,Yes
39,2019-01-01 18:00,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,"39,900","59,050,000",Tuesday,No,Yes
40,2019-01-01 18:20,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,"39,900","85,937,000",Tuesday,No,Yes
41,2019-01-01 18:40,20,100435,201350,우리바다 손질왕꼬막 24팩,농수축,"39,900","101,468,000",Tuesday,No,Yes
42,2019-01-01 19:00,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,"119,000","36,620,000",Tuesday,No,Yes
43,2019-01-01 19:20,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,"119,000","69,349,000",Tuesday,No,Yes
44,2019-01-01 19:40,20,100607,201892,푸마 에어핏 서포트 브라세트 15종+4종,속옷,"119,000","84,610,000",Tuesday,No,Yes
45,2019-01-01 20:00,20,100150,200533,일시불 LG 통돌이 세탁기,가전,"439,000","35,519,000",Tuesday,No,Yes
46,2019-01-01 20:00,20,100150,200465,무이자 LG 통돌이 세탁기,가전,"489,000","19,123,000",Tuesday,No,Yes
47,2019-01-01 20:20,20,100150,200533,일시불 LG 통돌이 세탁기,가전,"439,000","56,859,000",Tuesday,No,Yes
48,2019-01-01 20:20,20,100150,200465,무이자 LG 통돌이 세탁기,가전,"489,000","58,685,000",Tuesday,No,Yes
49,2019-01-01 20:40,20,100150,200533,일시불 LG 통돌이 세탁기,가전,"439,000","68,320,000",Tuesday,No,Yes
50,2019-01-01 20:40,20,100150,200465,무이자 LG 통돌이 세탁기,가전,"489,000","46,068,000",Tuesday,No,Yes
51,2019-01-01 21:00,20,100049,202044,마리노블 밍크 롱코트,의류,"499,000","16,362,000",Tuesday,No,Yes
52,2019-01-01 21:20,20,100049,202044,마리노블 밍크 롱코트,의류,"499,000","53,791,000",Tuesday,No,Yes
53,2019-01-01 21:40,20,100049,202044,마리노블 밍크 롱코트,의류,"499,000","84,562,000",Tuesday,No,Yes
54,2019-01-01 22:00,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,"299,000","38,067,000",Tuesday,No,Yes
55,2019-01-01 22:30,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,"299,000","77,764,000",Tuesday,No,Yes
56,2019-01-01 23:00,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,"89,900","23,075,000",Tuesday,No,Yes
57,2019-01-01 23:20,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,"89,900","39,452,000",Tuesday,No,Yes
58,2019-01-01 23:40,20,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,"89,900","60,010,000",Tuesday,No,Yes
59,2019-01-02 0:00,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,"69,900","6,082,000",Wednesday,No,No
60,2019-01-02 0:00,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,"69,900","6,445,000",Wednesday,No,No
61,2019-01-02 0:20,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,"69,900","11,985,000",Wednesday,No,No
62,2019-01-02 0:20,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,"69,900","8,491,000",Wednesday,No,No
63,2019-01-02 0:40,20,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,의류,"69,900","16,461,000",Wednesday,No,No
64,2019-01-02 0:40,20,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,의류,"69,900","10,641,000",Wednesday,No,No
65,2019-01-02 1:00,20,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,"69,900","9,647,000",Wednesday,No,No
66,2019-01-02 1:20,20,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,"69,900","15,516,000",Wednesday,No,No
67,2019-01-02 1:40,17,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,속옷,"69,900","18,695,000",Wednesday,No,No
68,2019-01-02 6:00,20,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,"29,800","9,605,000",Wednesday,No,No
69,2019-01-02 6:20,20,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,"29,800","11,265,000",Wednesday,No,No
70,2019-01-02 6:40,20,100229,200800,벨라홈 논슬립 옷걸이 세트,생활용품,"29,800","14,371,000",Wednesday,No,No
71,2019-01-02 7:00,20,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,"69,000","14,944,000",Wednesday,No,No
72,2019-01-02 7:20,20,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,"69,000","25,881,000",Wednesday,No,No
73,2019-01-02 7:40,20,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,"69,000","30,126,000",Wednesday,No,No
74,2019-01-02 8:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","11,314,000",Wednesday,No,No
75,2019-01-02 8:20,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","21,397,000",Wednesday,No,No
76,2019-01-02 8:40,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","34,822,000",Wednesday,No,No
77,2019-01-02 9:00,20,100454,201409,NNF 쿠션퍼자켓+베스트,의류,"39,900","12,607,000",Wednesday,No,No
78,2019-01-02 9:20,20,100454,201409,NNF 쿠션퍼자켓+베스트,의류,"39,900","23,042,000",Wednesday,No,No
79,2019-01-02 9:40,20,100454,201409,NNF 쿠션퍼자켓+베스트,의류,"39,900","38,449,000",Wednesday,No,No
80,2019-01-02 10:00,20,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,"158,000","7,239,000",Wednesday,No,No
81,2019-01-02 10:00,20,100448,202093,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,"168,000","8,951,000",Wednesday,No,No
82,2019-01-02 10:00,20,100448,202100,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,"148,000","2,118,000",Wednesday,No,No
83,2019-01-02 10:00,20,100448,202095,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,"158,000","2,262,000",Wednesday,No,No
84,2019-01-02 10:20,20,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,"158,000","27,223,000",Wednesday,No,No
85,2019-01-02 10:20,20,100448,202093,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,"168,000","13,074,000",Wednesday,No,No
86,2019-01-02 10:20,20,100448,202100,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,"148,000","9,408,000",Wednesday,No,No
87,2019-01-02 10:20,20,100448,202095,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,"158,000","4,507,000",Wednesday,No,No
88,2019-01-02 10:40,20,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,"158,000","44,478,000",Wednesday,No,No
89,2019-01-02 10:40,20,100448,202093,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,"168,000","18,925,000",Wednesday,No,No
90,2019-01-02 10:40,20,100448,202100,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,"148,000","13,024,000",Wednesday,No,No
91,2019-01-02 10:40,20,100448,202095,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,"158,000","3,368,000",Wednesday,No,No
92,2019-01-02 11:00,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,"299,000","29,763,000",Wednesday,No,No
93,2019-01-02 11:30,30,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,"299,000","66,392,000",Wednesday,No,No
94,2019-01-02 12:00,20,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,"238,000","10,107,000",Wednesday,No,No
95,2019-01-02 12:00,20,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,"228,000","2,270,000",Wednesday,No,No
96,2019-01-02 12:00,20,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,"218,000","1,469,000",Wednesday,No,No
97,2019-01-02 12:00,20,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,"208,000","2,757,000",Wednesday,No,No
98,2019-01-02 12:20,20,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,"238,000","17,801,000",Wednesday,No,No
99,2019-01-02 12:20,20,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,"228,000","17,732,000",Wednesday,No,No
100,2019-01-02 12:20,20,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,"218,000","10,627,000",Wednesday,No,No
101,2019-01-02 12:20,20,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,"208,000","4,731,000",Wednesday,No,No
102,2019-01-02 12:40,20,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,"238,000","25,462,000",Wednesday,No,No
103,2019-01-02 12:40,20,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,"228,000","21,428,000",Wednesday,No,No
104,2019-01-02 12:40,20,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,"218,000","6,384,000",Wednesday,No,No
105,2019-01-02 12:40,20,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,"208,000","4,095,000",Wednesday,No,No
106,2019-01-02 13:00,20,100844,202491,하늘내린 용대리황태10미,농수축,"32,900","29,599,000",Wednesday,No,No
107,2019-01-02 13:20,20,100844,202491,하늘내린 용대리황태10미,농수축,"32,900","40,882,000",Wednesday,No,No
108,2019-01-02 13:40,20,100844,202491,하늘내린 용대리황태10미,농수축,"32,900","42,466,000",Wednesday,No,No
109,2019-01-02 14:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,"109,000","28,456,000",Wednesday,No,No
110,2019-01-02 14:30,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,"109,000","56,800,000",Wednesday,No,No
111,2019-01-02 15:00,20,100253,200864,안동간고등어 20팩,농수축,"30,900","41,722,000",Wednesday,No,No
112,2019-01-02 15:20,20,100253,200864,안동간고등어 20팩,농수축,"30,900","43,167,000",Wednesday,No,No
113,2019-01-02 15:40,20,100253,200864,안동간고등어 20팩,농수축,"30,900","70,322,000",Wednesday,No,No
114,2019-01-02 16:00,20,100722,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,"30,900","11,931,000",Wednesday,No,No
115,2019-01-02 16:00,20,100722,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,"30,900","6,694,000",Wednesday,No,No
116,2019-01-02 16:20,20,100722,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,"30,900","16,983,000",Wednesday,No,No
117,2019-01-02 16:20,20,100722,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,"30,900","9,744,000",Wednesday,No,No
118,2019-01-02 16:40,20,100722,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,"30,900","18,931,000",Wednesday,No,No
119,2019-01-02 16:40,20,100722,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,"30,900","11,181,000",Wednesday,No,No
120,2019-01-02 17:00,20,100801,202365,바다먹자 국내산 손질꽃게 7팩,농수축,"59,900","30,903,000",Wednesday,No,No
121,2019-01-02 17:20,20,100801,202365,바다먹자 국내산 손질꽃게 7팩,농수축,"59,900","50,056,000",Wednesday,No,No
122,2019-01-02 17:40,20,100801,202365,바다먹자 국내산 손질꽃게 7팩,농수축,"59,900","49,237,000",Wednesday,No,No
123,2019-01-02 18:00,20,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,"89,800","22,422,000",Wednesday,No,No
124,2019-01-02 18:20,20,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,"89,800","33,817,000",Wednesday,No,No
125,2019-01-02 18:40,20,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,주방,"89,800","44,814,000",Wednesday,No,No
126,2019-01-02 19:00,20,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,"59,900","25,985,000",Wednesday,No,No
127,2019-01-02 19:20,20,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,"59,900","36,647,000",Wednesday,No,No
128,2019-01-02 19:40,20,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,"59,900","65,853,000",Wednesday,No,No
129,2019-01-02 20:00,20,100610,201901,푸마 코튼 라이크라 드로즈 12종,속옷,"89,000","18,424,000",Wednesday,No,No
130,2019-01-02 20:00,20,100610,201862,푸마 INNO 심리스 롱드로즈 7종,속옷,"89,000","422,000",Wednesday,No,No
131,2019-01-02 20:00,20,100610,201880,푸마 드라이셀라인 뉴 런닝 9종,속옷,"89,000","1,506,000",Wednesday,No,No
132,2019-01-02 20:20,20,100610,201901,푸마 코튼 라이크라 드로즈 12종,속옷,"89,000","41,096,000",Wednesday,No,No
133,2019-01-02 20:20,20,100610,201862,푸마 INNO 심리스 롱드로즈 7종,속옷,"89,000","2,575,000",Wednesday,No,No
134,2019-01-02 20:20,20,100610,201880,푸마 드라이셀라인 뉴 런닝 9종,속옷,"89,000","3,660,000",Wednesday,No,No
135,2019-01-02 20:40,20,100610,201901,푸마 코튼 라이크라 드로즈 12종,속옷,"89,000","52,885,000",Wednesday,No,No
136,2019-01-02 20:40,20,100610,201862,푸마 INNO 심리스 롱드로즈 7종,속옷,"89,000","3,029,000",Wednesday,No,No
137,2019-01-02 20:40,20,100610,201880,푸마 드라이셀라인 뉴 런닝 9종,속옷,"89,000","4,155,000",Wednesday,No,No
138,2019-01-02 21:00,20,100155,200554,일시불 LG전자 매직스페이스 냉장고,가전,"1,409,000","14,485,000",Wednesday,No,No
139,2019-01-02 21:00,20,100155,200487,무이자 LG전자 매직스페이스 냉장고,가전,"1,549,000","11,986,000",Wednesday,No,No
140,2019-01-02 21:20,20,100155,200554,일시불 LG전자 매직스페이스 냉장고,가전,"1,409,000","25,312,000",Wednesday,No,No
141,2019-01-02 21:20,20,100155,200487,무이자 LG전자 매직스페이스 냉장고,가전,"1,549,000","11,960,000",Wednesday,No,No
142,2019-01-02 21:40,20,100155,200554,일시불 LG전자 매직스페이스 냉장고,가전,"1,409,000","21,729,000",Wednesday,No,No
143,2019-01-02 21:40,20,100155,200487,무이자 LG전자 매직스페이스 냉장고,가전,"1,549,000","23,895,000",Wednesday,No,No
144,2019-01-02 22:00,20,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,"1,300,000","3,177,000",Wednesday,No,No
146,2019-01-02 22:00,20,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,가전,"1,900,000","13,796,000",Wednesday,No,No
147,2019-01-02 22:00,20,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,가전,"2,130,000","10,329,000",Wednesday,No,No
150,2019-01-02 22:20,20,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,"1,300,000","3,177,000",Wednesday,No,No
151,2019-01-02 22:20,20,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,가전,"1,440,000","3,541,000",Wednesday,No,No
152,2019-01-02 22:20,20,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,가전,"1,900,000","32,123,000",Wednesday,No,No
153,2019-01-02 22:20,20,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,가전,"2,130,000","5,189,000",Wednesday,No,No
156,2019-01-02 22:40,20,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,가전,"1,300,000","6,305,000",Wednesday,No,No
157,2019-01-02 22:40,20,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,가전,"1,440,000","6,983,000",Wednesday,No,No
158,2019-01-02 22:40,20,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,가전,"1,900,000","36,730,000",Wednesday,No,No
159,2019-01-02 22:40,20,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,가전,"2,130,000","15,468,000",Wednesday,No,No
161,2019-01-02 22:40,20,100148,200451,무이자 LG 울트라HD TV 70UK7400KNA,가전,"2,990,000","14,523,000",Wednesday,No,No
162,2019-01-02 23:00,20,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,"79,900","29,048,000",Wednesday,No,No
163,2019-01-02 23:20,20,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,"79,900","46,224,000",Wednesday,No,No
164,2019-01-02 23:40,20,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,속옷,"79,900","31,298,000",Wednesday,No,No
165,2019-01-03 0:00,20,100346,201072,테이트 남성 셀린니트3종,의류,"39,900","7,329,000",Thursday,No,No
166,2019-01-03 0:00,20,100346,201079,테이트 여성 셀린니트3종,의류,"39,900","12,050,000",Thursday,No,No
167,2019-01-03 0:20,20,100346,201072,테이트 남성 셀린니트3종,의류,"39,900","10,481,000",Thursday,No,No
168,2019-01-03 0:20,20,100346,201079,테이트 여성 셀린니트3종,의류,"39,900","22,520,000",Thursday,No,No
169,2019-01-03 1:00,20,100613,201894,푸마 웜셀 기모 치마레깅스 3종,속옷,"59,000","13,185,000",Thursday,No,No
170,2019-01-03 1:20,20,100613,201894,푸마 웜셀 기모 치마레깅스 3종,속옷,"59,000","17,348,000",Thursday,No,No
171,2019-01-03 1:40,17,100613,201894,푸마 웜셀 기모 치마레깅스 3종,속옷,"59,000","24,910,000",Thursday,No,No
172,2019-01-03 6:00,20,100781,202292,에펨 여성 미들퍼부츠,잡화,"39,800","2,450,000",Thursday,No,No
173,2019-01-03 6:00,20,100781,202285,에펨 남성 미들퍼부츠,잡화,"49,800","2,645,000",Thursday,No,No
174,2019-01-03 6:20,20,100781,202292,에펨 여성 미들퍼부츠,잡화,"39,800","5,609,000",Thursday,No,No
175,2019-01-03 6:20,20,100781,202285,에펨 남성 미들퍼부츠,잡화,"49,800","3,874,000",Thursday,No,No
176,2019-01-03 6:40,20,100781,202292,에펨 여성 미들퍼부츠,잡화,"39,800","9,045,000",Thursday,No,No
177,2019-01-03 6:40,20,100781,202285,에펨 남성 미들퍼부츠,잡화,"49,800","6,162,000",Thursday,No,No
178,2019-01-03 7:00,20,100582,201788,천연담아 명품다시팩 100포,농수축,"39,900","20,546,000",Thursday,No,No
179,2019-01-03 7:20,20,100582,201788,천연담아 명품다시팩 100포,농수축,"39,900","26,917,000",Thursday,No,No
180,2019-01-03 7:40,20,100582,201788,천연담아 명품다시팩 100포,농수축,"39,900","35,153,000",Thursday,No,No
181,2019-01-03 8:00,20,100774,202261,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,"79,000","13,665,000",Thursday,No,No
182,2019-01-03 8:20,20,100774,202261,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,"79,000","26,788,000",Thursday,No,No
183,2019-01-03 8:40,20,100774,202261,엘렌실라 달팽이크림(콜라겐5+팩트3),이미용,"79,000","36,208,000",Thursday,No,No
184,2019-01-03 9:00,20,100600,201840,로베르타 디 까메리노 노벨라백 2종,잡화,"39,000","17,518,000",Thursday,No,No
185,2019-01-03 9:20,20,100600,201840,로베르타 디 까메리노 노벨라백 2종,잡화,"39,000","19,488,000",Thursday,No,No
186,2019-01-03 9:40,20,100600,201840,로베르타 디 까메리노 노벨라백 2종,잡화,"39,000","36,253,000",Thursday,No,No
187,2019-01-03 10:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,"109,000","32,763,000",Thursday,No,No
188,2019-01-03 10:30,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,"109,000","70,140,000",Thursday,No,No
189,2019-01-03 11:00,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","16,785,000",Thursday,No,No
190,2019-01-03 11:20,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","32,391,000",Thursday,No,No
191,2019-01-03 11:40,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","35,613,000",Thursday,No,No
192,2019-01-03 12:00,20,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,"69,000","18,481,000",Thursday,No,No
193,2019-01-03 12:20,20,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,"69,000","24,779,000",Thursday,No,No
194,2019-01-03 12:40,20,100315,201002,(직매입) 종근당건강 아이클리어 루테인,건강기능,"69,000","45,269,000",Thursday,No,No
195,2019-01-03 13:00,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","30,273,000",Thursday,No,No
196,2019-01-03 13:20,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","41,669,000",Thursday,No,No
197,2019-01-03 13:40,20,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,"39,800","44,782,000",Thursday,No,No
198,2019-01-03 14:00,20,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,"109,800","22,816,000",Thursday,No,No
199,2019-01-03 14:20,20,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,"109,800","47,947,000",Thursday,No,No
200,2019-01-03 14:40,20,100255,200868,한일 대용량 스텐 분쇄믹서기,주방,"109,800","49,139,000",Thursday,No,No
201,2019-01-03 15:00,20,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,"218,000","13,222,000",Thursday,No,No
202,2019-01-03 15:00,20,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,"208,000","9,656,000",Thursday,No,No
203,2019-01-03 15:00,20,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,"208,000","1,530,000",Thursday,No,No
204,2019-01-03 15:00,20,100837,202457,(도냄)일시불  쿠쿠전기밥솥 6인용,주방,"198,000","4,272,000",Thursday,No,No
205,2019-01-03 15:20,20,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,주방,"218,000","31,827,000",Thursday,No,No
206,2019-01-03 15:20,20,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,주방,"208,000","24,436,000",Thursday,No,No
207,2019-01-03 15:20,20,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,주방,"208,000","5,224,000",Thursday,No,No
